Marketing_Airline_Network,Origin,Dest,CRSDepTime,DepDelayMinutes,ArrDelayMinutes,CRSElapsedTime,Distance
UA,MSY,IAD,1245,0,0,148,955
UA,IAD,MSY,900,35,15,184,955
UA,IAH,MKE,2010,0,0,163,984
UA,IAH,CLT,1215,0,0,154,912
UA,BNA,IAH,1440,20,0,147,657
UA,IAD,ATL,1740,0,0,130,534
UA,DTW,IAD,1415,0,0,98,383
UA,IAD,DTW,855,0,0,102,383
UA,IAH,MFE,1805,0,0,88,316
UA,ELP,IAH,1418,0,0,120,667
UA,MEM,IAH,1655,24,6,116,468
UA,SAV,IAD,945,0,0,103,515
UA,DSM,IAH,1501,0,0,158,802
UA,AUS,IAD,1633,25,36,187,1297
UA,IAD,AUS,1255,4,24,236,1297
UA,BDL,IAD,1018,73,64,91,325
UA,IAD,BDL,815,88,81,82,325
UA,DFW,IAH,1725,0,3,80,224
UA,IAH,DFW,1435,0,0,86,224
UA,AUS,IAH,1915,0,0,68,140
UA,SDF,IAH,920,0,0,168,788
UA,BHM,IAH,630,203,183,135,562
UA,DTW,IAH,1635,0,0,205,1075
UA,LFT,IAH,930,0,0,80,201
UA,IAH,DFW,1810,0,0,86,224
UA,IAH,DTW,1155,0,0,175,1075
UA,JAX,IAH,1355,0,0,163,817
UA,IAH,ATL,1210,0,0,130,689
UA,IAH,LFT,2000,0,0,71,201
UA,IAH,ABQ,954,0,10,147,744
UA,HRL,IAH,510,172,162,83,295
UA,DFW,DEN,546,0,0,139,641
UA,IAH,DSM,2005,0,0,146,802
UA,IAH,ELP,1010,0,0,133,667
UA,ELP,DEN,1430,0,5,117,563
UA,IAH,ELP,1205,0,2,133,667
UA,BNA,IAH,1059,0,0,147,657
UA,IAH,MAF,1425,0,13,100,429
UA,DEN,PHX,830,0,0,126,602
UA,SYR,IAD,1453,0,0,87,296
UA,IAD,SYR,1245,0,0,85,296
UA,OKC,IAH,714,0,0,96,395
UA,DEN,ICT,1900,761,752,86,420
UA,DEN,GJT,1550,179,164,69,212
UA,MCI,IAD,1250,0,23,145,926
UA,DEN,ELP,1130,0,0,117,563
UA,DEN,DFW,1740,64,59,128,641
UA,BHM,IAH,1655,0,0,125,562
UA,IAH,CRP,1421,4,3,73,201
UA,CHS,IAD,1941,0,0,95,441
UA,IAD,CHS,1705,12,0,115,441
UA,IAH,BNA,2025,0,0,123,657
UA,GJT,DEN,1750,142,112,87,212
UA,DSM,IAH,600,0,0,169,802
UA,ABQ,IAH,1220,0,0,130,744
UA,IAH,AUS,1650,0,0,64,140
UA,DFW,IAH,940,0,0,80,224
UA,ELP,IAH,1233,0,0,120,667
UA,IAH,CRP,1945,0,0,73,201
UA,CLE,IAD,1445,17,31,83,288
UA,IAD,CLE,1240,0,19,84,288
UA,BDL,IAD,1948,0,0,92,325
UA,IAD,BDL,1720,0,0,89,325
UA,DCA,IAH,1435,0,0,225,1208
UA,MSP,IAD,1212,0,0,153,908
UA,IAD,MSP,900,0,0,174,908
UA,ELP,IAH,1609,34,10,124,667
UA,IAH,MFE,1200,0,0,88,316
UA,CRP,IAH,930,13,4,72,201
UA,ATL,IAH,1725,21,5,150,689
UA,BTR,IAH,720,0,0,82,253
UA,ATL,IAD,940,4,0,111,534
UA,IAH,CLT,720,0,0,154,912
UA,CLT,IAD,1453,21,43,89,322
UA,IAD,CLT,1230,14,30,101,322
UA,CLT,IAD,1945,0,0,91,322
UA,IAD,CLT,1710,0,0,101,322
UA,IAH,SRQ,1250,6,0,145,796
UA,BZN,DEN,1055,0,0,108,524
UA,AUS,IAH,1214,0,0,68,140
UA,BDL,IAD,1445,52,46,92,325
UA,IAD,BDL,1239,23,39,84,325
UA,BHM,IAH,1306,18,11,124,562
UA,SAV,IAD,1340,0,0,103,515
UA,IAD,SAV,900,0,1,121,515
UA,CLE,IAD,1950,86,91,81,288
UA,IAD,CLE,1725,92,114,88,288
UA,BUF,IAD,1025,0,9,79,283
UA,OKC,IAH,935,0,0,97,395
UA,DEN,SAF,1550,0,0,87,303
UA,IAH,GPT,1805,0,0,87,376
UA,IAH,LBB,1950,49,37,111,458
UA,LRD,IAH,1416,495,488,84,301
UA,ALB,IAD,550,0,0,105,325
UA,BTR,IAH,1415,0,0,85,253
UA,IAH,TUL,1425,0,0,101,429
UA,SGF,DEN,1645,0,0,140,637
UA,ALB,IAD,1440,36,25,102,325
UA,IAD,ALB,2230,0,0,89,325
UA,IAD,ALB,1713,0,0,95,325
UA,BTR,IAH,1200,215,200,86,253
UA,IAD,TYS,1725,0,0,108,419
UA,TYS,IAH,651,0,0,174,771
UA,SHV,IAH,1608,0,0,77,192
UA,IAH,SGF,1420,0,0,108,513
UA,DEN,LNK,1725,3,0,102,423
UA,HSV,IAH,850,0,0,133,595
UA,IAH,BRO,2013,0,0,86,308
UA,HSV,IAH,1455,0,0,131,595
UA,IAH,TYS,1645,0,7,136,771
UA,PNS,IAH,1142,9,0,118,489
UA,SHV,DEN,849,0,0,166,792
UA,SGF,IAH,1656,0,0,131,513
UA,LRD,IAH,710,0,0,84,301
UA,ALB,IAD,945,0,0,105,325
UA,IAH,TYS,1015,0,2,136,771
UA,IAH,BRO,1440,0,5,88,308
UA,SHV,IAH,700,0,0,86,192
UA,ROC,IAD,1020,0,14,85,288
UA,IAH,LNK,1620,9,5,142,753
UA,LNK,DEN,927,0,0,126,423
UA,HRL,IAH,1715,0,0,84,295
UA,IAH,LRD,2017,0,1,87,301
UA,ROC,IAD,1445,0,24,87,288
UA,COS,DEN,1135,0,0,65,73
UA,IAH,CRP,1000,0,8,79,201
UA,SGF,IAH,630,0,1,131,513
UA,IAH,SHV,2000,0,0,70,192
UA,TYS,IAD,1430,0,1,100,419
UA,IAD,ROC,1235,0,0,87,288
UA,TYS,IAH,915,0,0,165,771
UA,IAD,CHO,1725,17,20,57,77
UA,LIT,DEN,1630,4,0,155,771
UA,HOB,DEN,840,0,0,112,501
UA,IAD,TYS,900,0,0,108,419
UA,ROA,IAD,1944,0,0,71,177
UA,IAH,LFT,1820,0,0,71,201
UA,SAF,DEN,1329,52,33,91,303
UA,IAH,CRP,1205,0,0,77,201
UA,IAD,ORF,836,0,0,67,157
UA,IAH,SHV,1425,0,0,68,192
UA,IAD,CHO,1255,7,46,53,77
UA,IAH,BRO,953,0,0,88,308
UA,DEN,HOB,1135,8,0,103,501
UA,IAH,TYS,2011,0,0,133,771
UA,ITH,EWR,623,0,0,96,172
UA,ORD,BHM,1750,0,0,124,584
UA,EWR,RIC,1258,0,0,91,277
UA,DCA,EWR,700,0,9,86,199
UA,ORD,RIC,1355,0,2,130,642
UA,IAD,STL,1750,0,0,151,696
UA,PIA,ORD,1547,0,0,67,130
UA,ORD,PIA,1355,0,0,70,130
UA,ORD,STL,1545,1,0,85,258
UA,ORD,MSN,901,0,0,71,108
UA,MSN,ORD,1050,0,0,74,108
UA,ORD,PIA,1950,0,0,69,130
UA,STL,IAD,830,0,0,128,696
UA,EWR,BTV,1130,0,15,81,266
UA,SCE,EWR,605,0,0,84,193
UA,BTV,EWR,1333,3,11,104,266
UA,EWR,PIT,1430,32,11,97,319
UA,PIT,EWR,1700,0,62,106,319
UA,ORF,EWR,1758,0,3,106,284
UA,EWR,ORF,1540,0,0,89,284
UA,IAD,RIC,1735,6,9,64,100
UA,ORD,FNT,1955,0,0,78,223
UA,AVP,EWR,603,0,0,76,93
